symbol,date,open,high,low,close,volume,oi,expiry
CDSL      ,2025-12-11,1498.0,1553.0,1498.0,1545.8,38950.0,105450.0,2026-02-24
CGPOWER   ,2025-12-11,664.15,671.15,663.2,668.0,1610750.0,15101100.0,2025-12-30
CGPOWER   ,2025-12-11,671.4,674.0,666.6,671.55,167450.0,684250.0,2026-01-27
CGPOWER   ,2025-12-11,674.0,675.95,673.0,675.95,5100.0,72250.0,2026-02-24
CHOLAFIN  ,2025-12-11,1748.6,1754.2,1725.2,1728.6,2256875.0,12852500.0,2025-12-30
CHOLAFIN  ,2025-12-11,1750.0,1754.0,1725.5,1728.8,258125.0,516875.0,2026-01-27
CHOLAFIN  ,2025-12-11,1736.1,1748.3,1725.0,1727.9,13750.0,26875.0,2026-02-24
CIPLA     ,2025-12-11,1505.0,1518.5,1497.0,1516.9,983625.0,13120875.0,2025-12-30
CIPLA     ,2025-12-11,1508.6,1528.0,1507.5,1526.3,174375.0,481500.0,2026-01-27
CIPLA     ,2025-12-11,1516.3,1535.9,1516.3,1535.1,10500.0,54750.0,2026-02-24
COALINDIA ,2025-12-11,382.5,386.45,381.75,385.25,3609900.0,50688450.0,2025-12-30
COALINDIA ,2025-12-11,385.2,388.75,384.2,387.5,599400.0,5759100.0,2026-01-27
COALINDIA ,2025-12-11,384.0,386.9,383.0,385.95,87750.0,356400.0,2026-02-24
COFORGE   ,2025-12-11,1839.0,1868.3,1831.2,1845.6,2610000.0,12159000.0,2025-12-30
COFORGE   ,2025-12-11,1836.5,1873.2,1836.2,1852.2,129000.0,443250.0,2026-01-27
COFORGE   ,2025-12-11,1848.9,1872.2,1839.9,1852.8,45375.0,80625.0,2026-02-24
COLPAL    ,2025-12-11,2155.7,2169.0,2141.0,2162.6,320175.0,6057900.0,2025-12-30
COLPAL    ,2025-12-11,2161.5,2179.4,2151.7,2174.3,51750.0,398475.0,2026-01-27
COLPAL    ,2025-12-11,2170.0,2192.1,2166.0,2187.6,7875.0,32400.0,2026-02-24
CONCOR    ,2025-12-11,508.7,510.4,504.2,508.7,1628750.0,37416250.0,2025-12-30
CONCOR    ,2025-12-11,509.5,513.7,507.75,511.55,168750.0,2108750.0,2026-01-27
CONCOR    ,2025-12-11,510.8,513.6,510.0,510.0,12500.0,306250.0,2026-02-24
CROMPTON  ,2025-12-11,253.7,253.7,249.3,252.75,3236400.0,52920000.0,2025-12-30
CROMPTON  ,2025-12-11,252.15,255.25,250.0,254.2,532800.0,3166200.0,2026-01-27
CROMPTON  ,2025-12-11,253.5,256.55,249.95,255.65,194400.0,646200.0,2026-02-24
CUMMINSIND,2025-12-11,4569.0,4602.4,4529.7,4553.8,572600.0,2853600.0,2025-12-30
CUMMINSIND,2025-12-11,4585.0,4624.0,4555.0,4575.0,35400.0,44000.0,2026-01-27
CUMMINSIND,2025-12-11,4596.9,4620.3,4575.0,4584.0,2400.0,7600.0,2026-02-24
CYIENT    ,2025-12-11,1136.8,1161.7,1136.8,1158.8,510000.0,3460350.0,2025-12-30
DABUR     ,2025-12-11,503.65,504.7,498.7,503.3,2125000.0,17247500.0,2025-12-30
DABUR     ,2025-12-11,504.4,507.35,501.25,506.35,130000.0,611250.0,2026-01-27
DABUR     ,2025-12-11,507.0,509.4,505.3,508.0,12500.0,50000.0,2026-02-24
DALBHARAT ,2025-12-11,1948.5,1998.9,1942.8,1996.2,722475.0,2324400.0,2025-12-30
DALBHARAT ,2025-12-11,1958.1,2010.2,1957.3,2005.5,16250.0,54925.0,2026-01-27
DALBHARAT ,2025-12-11,1997.8,1997.8,1997.8,1997.8,325.0,5525.0,2026-02-24
DELHIVERY ,2025-12-11,407.9,412.85,405.65,411.7,3097975.0,15709825.0,2025-12-30
DELHIVERY ,2025-12-11,410.15,414.4,408.3,413.85,147325.0,639100.0,2026-01-27
DELHIVERY ,2025-12-11,411.05,415.7,411.05,415.7,14525.0,89225.0,2026-02-24
DIVISLAB  ,2025-12-11,6327.0,6514.5,6301.5,6445.5,453200.0,2922900.0,2025-12-30
DIVISLAB  ,2025-12-11,6380.0,6550.0,6365.0,6485.0,26900.0,75200.0,2026-01-27
DIVISLAB  ,2025-12-11,6410.0,6580.0,6410.0,6500.0,1500.0,4100.0,2026-02-24
